('SI--L--2-45', 'SI20MKA8-10'):333
('SI--PCB2B85', 'SI20MAJ8-10'):295
('SI--PCB2B85', 'SI20HA-6-70'):635
('SI--PCB2B85', 'SI20HSK-8B28'):321
('SI--PCB2B85', 'SI--BFT8-10'):365
('SI--PCB2B85', 'SI20MKA8-10'):299
('SI20LCL2B66', 'SI20MAJ8-10'):295
('SI20LCL2B66', 'SI20HA-6-70'):635
('SI20LCL2B66', 'SI20HSK-8B28'):321
('SI20LCL2B66', 'SI--BFT8-10'):365
('SI20LCL2B66', 'SI20MKA8-10'):299
('SI--HA-2-83', 'SI20MAJ8-10'):333
('SI--HA-2-83', 'SI20HA-6-70'):673
('SI--HA-2-83', 'SI20HSK-8B28'):359
('SI--HA-2-83', 'SI--BFT8-10'):403
('SI--HA-2-83', 'SI20MKA8-10'):337
('SI--G--2-20', 'SI20MAJ8-10'):363
('SI--G--2-20', 'SI20HA-6-70'):703
('SI--G--2-20', 'SI20HSK-8B28'):389
('SI--G--2-20', 'SI--BFT8-10'):433
('SI--G--2-20', 'SI20MKA8-10'):367
('SI--EK-2-90', 'SI20E--7-10'):505
('SI--EK-2-90', 'SI20BZL8E10'):239
('SI--EK-2-90', 'SI20UBA3B76'):434
('SI--EK-2-90', 'SI20CYQ8-10'):94
('SI--EK-2-90', 'SI--C--2B70'):12
('SI--EK-2-90', 'SI20BBA8-49'):32
('SI--EK-2-90', 'SI--CKA2-04'):200
('SI--G--2-20', 'SI20E--7-10'):618
('SI--G--2-20', 'SI20BZL8E10'):352
('SI--G--2-20', 'SI20UBA3B76'):547
('SI--G--2-20', 'SI20CYQ8-10'):207
('SI--G--2-20', 'SI--C--2B70'):125
('SI--G--2-20', 'SI20BBA8-49'):145
('SI--G--2-20', 'SI--CKA2-04'):313
('SI--5552-60', 'SI20E--7-10'):506
('SI--5552-60', 'SI20BZL8E10'):240
('SI--5552-60', 'SI20UBA3B76'):435
('SI--5552-60', 'SI20CYQ8-10'):329
('SI--5552-60', 'SI--C--2B70'):13
('SI--5552-60', 'SI20BBA8-49'):33
('SI--5552-60', 'SI--CKA2-04'):201
('SI--LCB2B86', 'SI20E--7-10'):505
('SI--LCB2B86', 'SI20BZL8E10'):239
('SI--LCB2B86', 'SI20UBA3B76'):434
('SI--LCB2B86', 'SI20CYQ8-10'):94
('SI--LCB2B86', 'SI--C--2B70'):12
('SI--LCB2B86', 'SI20BBA8-49'):32
('SI--LCB2B86', 'SI--CKA2-04'):200
('SP--SG-2-100', 'SI20E--7-10'):541
('SP--SG-2-100', 'SI20BZL8E10'):275
('SP--SG-2-100', 'SI20UBA3B76'):470
('SP--SG-2-100', 'SI20CYQ8-10'):607
('SP--SG-2-100', 'SI--C--2B70'):48
('SP--SG-2-100', 'SI20BBA8-49'):68
('SP--SG-2-100', 'SI--CKA2-04'):236
('SI20MBV2-86', 'SI20MKF8-11'):295
('SI--EK-2-85', 'SI20MKF8-11'):288
('SI--M--2D00', 'SI20MKF8-11'):329
('SI--3332-76', 'SI20MKF8-11'):409
('SI-----2M18', 'SI20MKF8-11'):394
('SI--MA-2-10', 'SI20MKF8-11'):329
('SI--G--2I45', 'SI20EK-8H14'):116
('SI20UMC5B10', 'SI20EK-8H14'):206
('SI----P3I29', 'SI20EK-8H14'):329
('SI20SMM2-83', 'SI20EK-8H14'):162
('SI--PGB2B85', 'SI20EK-8H14'):128
('SI20UMC2B-20', 'SI20EK-8H14'):387
('SI-----1-01', 'SI20HAD8E10'):492
('SI-----1-01', 'SI20LBA8J10'):582
('SI--HA-2-85', 'SI-----1-09'):375
('SI--3332-17', 'SI20BBA7-52'):296
('SI--HA-2-97', 'SI20BBA8-47'):499
('SI--UBA2G75', 'SI20BBA8-47'):573
('SI--B--2A55', 'SI20BBA8-47'):456
('SI-----2E93', 'SI20BBA8-47'):468
('SI--HB-2A40', 'SI20BBA8-41'):359
('SI--HB-2A40', 'SI20BBA7-58'):299
('SI--HB-2A40', 'SI20E--7-25'):359
('SI--HA-2-84', 'SI20BBA8-41'):302
('SI--HA-2-84', 'SI20BBA7-58'):242
('SI--HA-2-84', 'SI20E--7-25'):302
('SI--3331-35', 'SI20BBA8-41'):359
('SI--3331-35', 'SI20BBA7-58'):430
('SI--3331-35', 'SI20E--7-25'):359
('SI-----1-01', 'SI20SGM8-44'):112
('SI--HA-2-79', 'SI20CYQ8-10'):396
('SI--HA-2-79', 'SI20---9-90'):538
('SI20UBA4-65', 'SI20MAV8-10'):218
('SI--SA-2-05', 'SI20MAV8-10'):238
('SP--MB-2-85', 'SI20MAV8-10'):35
('SI--LDK2B85', 'SI20MAV8-10'):117
('SI---1P2A536', 'SI20MAV8-10'):199
('SP--MB-2A55', 'SI20MAV8-10'):105
('SI--HA-2-79', 'SI20MAV8-10'):130
('SI20TPI17A2-10', 'SI20MAV8-10'):35
('SP--CJP2-39', 'SI20MAV8-10'):35
('SI--PDB2B85', 'SI20MAV8-10'):117
('SI--PCB2B86', 'SI20MAV8-10'):117
('SI--LAC2B65', 'SI20MAV8-10'):153
('SI--PAB2-10', 'SI20MAV8-10'):416
('SI20UMC5C10', 'SI20BBA7-54'):93
('SI20UMC5C10', 'SI20QFB8-10'):72
('SI20---2M25', 'SI20BBA7-54'):289
('SI20---2M25', 'SI20QFB8-10'):268
('SI-----1-04', 'SI20BBA7-54'):33
('SI-----1-04', 'SI20QFB8-10'):12
('SI--HA-2E15', 'SI20BBA7-54'):188
('SI--HA-2E15', 'SI20QFB8-10'):167
('SI20PCB2B65', 'SI20BBA7-54'):33
('SI20PCB2B65', 'SI20QFB8-10'):12
('SI-----2E85', 'SI20BBA7-54'):45
('SI-----2E85', 'SI20QFB8-10'):24
('SI--M--2C20', 'SI20BBA7-54'):33
('SI--M--2C20', 'SI20QFB8-10'):12
('SI--B--2-65', 'SI20BBA7-54'):301
('SI--B--2-65', 'SI20QFB8-10'):280
('SP20MB-2-85', 'SI20BBA7-54'):269
('SP20MB-2-85', 'SI20QFB8-10'):248
('SI20UMC5A10', 'SI20BBA7-54'):173
('SI20UMC5A10', 'SI20QFB8-10'):152
('SI20UHA5-10', 'SI20BBA7-54'):257
('SI20UHA5-10', 'SI20QFB8-10'):236
('SI--LCB2B20', 'SI20BBA7-54'):33
('SI--LCB2B20', 'SI20QFB8-10'):12
('SI20HB-6A17', 'SI20HSK-8B28'):79
('SI20HB-6A17', 'SI20PAD8-10'):109
('SI20HB-6A17', 'SI20MKQ8-25'):107
('SI-----5-20', 'SI20HSK-8B28'):123
('SI-----5-20', 'SI20PAD8-10'):70
('SI-----5-20', 'SI20MKQ8-25'):68
('SI-----5-10', 'SI20ULY5-50'):214
('SI-----5-10', 'SI20MKC8-76'):56
('SI-----5-10', 'SI20CPC8A10'):202
('SI-----5-10', 'SI20UBA5B45'):239
('SI-----5-10', 'SI20MA-6-65'):141
('SI-----5-10', 'SI20TPE2A8-26'):266
('SI-----5-10', 'SI20PAD8-10'):219
('SI-----5-10', 'SI20BBA8-46'):226
('SI-----5-10', 'SI20PGB8-10'):63
('SI-----5-10', 'SI20UTG5-26'):226
('SI-----5-10', 'SI20TPE5A8-26'):290
('SI-----5-10', 'SI20MKQ8-25'):110
('SI-----5-10', 'SI20UBN5-20'):238
('SI-----5-10', 'SI20QCD8-10'):70
('SI--PGB2B85', 'SI20BBA8-41'):341
('SI--PGB2B85', 'SI20E--7-25'):341
('SI20---2M10', 'SI20BBA8-41'):554
('SI20---2M10', 'SI20E--7-25'):554
('SI--HA-2A86', 'SI20BBA8-41'):454
